"case_id","group","run","actual_score","actual_level","matched_skill_ids","actual_reason","suggested_rewrite","consistent"
"RW001","high_risk","1","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW001","high_risk","2","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW001","high_risk","3","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW007","high_risk","1","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW007","high_risk","2","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW007","high_risk","3","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","yes"
"RW025","high_risk","1","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW025","high_risk","2","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW025","high_risk","3","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW034","safe_zero","1","0","미탐지","","","","yes"
"RW034","safe_zero","2","0","미탐지","","","","yes"
"RW034","safe_zero","3","0","미탐지","","","","yes"
"RW043","safe_zero","1","0","미탐지","","","","yes"
"RW043","safe_zero","2","0","미탐지","","","","yes"
"RW043","safe_zero","3","0","미탐지","","","","yes"
"RW058","safe_zero","1","0","미탐지","","","","yes"
"RW058","safe_zero","2","0","미탐지","","","","yes"
"RW058","safe_zero","3","0","미탐지","","","","yes"
"RW071","quote_critical","1","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW071","quote_critical","2","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW071","quote_critical","3","80","높음","risk_education_000001","교육 결과와 절대적 보장 표현이 결합합니다.","학습 목표 달성을 위한 맞춤형 관리 프로그램을 제공합니다.","yes"
"RW082","quote_critical","1","82","높음","risk_privacy_000001","비동의 표현과 위치·동선 분석 또는 추적이 결합합니다.","동의받은 위치 정보를 바탕으로 맞춤 정보를 제공합니다.","yes"
"RW082","quote_critical","2","82","높음","risk_privacy_000001","비동의 표현과 위치·동선 분석 또는 추적이 결합합니다.","동의받은 위치 정보를 바탕으로 맞춤 정보를 제공합니다.","yes"
"RW082","quote_critical","3","82","높음","risk_privacy_000001","비동의 표현과 위치·동선 분석 또는 추적이 결합합니다.","동의받은 위치 정보를 바탕으로 맞춤 정보를 제공합니다.","yes"
"RW076","quote_critical","1","0","미탐지","","","","yes"
"RW076","quote_critical","2","0","미탐지","","","","yes"
"RW076","quote_critical","3","0","미탐지","","","","yes"
