case_id,cluster,domain,case_type,clarity,expected_range,original_text,design_note,actual_status,actual_score,primary_skill_id,matched_skill_ids,class_pass,range_pass,repeat_consistent,verdict
DEV001,health_side_effect_safety,health,risky,clear,80-100,복용 뒤 부작용은 하나도 없고 누구에게나 완전히 안전합니다.,부작용 없음 활용형과 절대 안전 결합,high,88,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,PASS,PASS,PASS,PASS
DEV002,health_side_effect_safety,health,risky,clear,80-100,이 시술은 부작용이 없으며 안전성을 100% 보장합니다.,없으며 활용형과 안전 보장 결합,high,88,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,PASS,PASS,PASS,PASS
DEV003,health_side_effect_safety,health,risky,clear,80-100,부작용 없습니다. 모든 체질에 완전 안전한 제품입니다.,부작용 부정과 절대 안전,high,88,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,PASS,PASS,PASS,PASS
DEV004,health_side_effect_safety,health,safe,clear,0-44,부작용이 없다고 단정하는 홍보는 금지됩니다.,위험 주장의 금지,no_match,0,,,PASS,PASS,PASS,PASS
DEV005,health_side_effect_safety,health,safe,clear,0-44,완전 안전하다는 문구는 과장 광고이므로 피해야 합니다.,절대 안전 문구 비판,no_match,0,,,PASS,PASS,PASS,PASS
DEV006,health_side_effect_safety,health,boundary,boundary,0-69,시험 참여자에게서 부작용 신고가 없었습니다.,관찰 사실과 광고 보장 구분,no_match,0,,,PASS,PASS,PASS,PASS
DEV007,health_quantitative_growth,health,risky,clear,80-100,성장기 프로그램으로 키가 4cm 더 커집니다.,정량 성장 결과,high,82,risk_v03_health_body_result,risk_v03_health_body_result,PASS,PASS,PASS,PASS
DEV008,health_quantitative_growth,health,risky,clear,80-100,두 달이면 신장이 3cm 늘어납니다.,기간과 정량 신장 결과,high,82,risk_v03_health_body_result,risk_v03_health_body_result,PASS,PASS,PASS,PASS
DEV009,health_quantitative_growth,health,risky,clear,80-100,아이 키를 5~7cm 성장시켜 드립니다.,범위형 정량 성장 약속,high,82,risk_v03_health_body_result,risk_v03_health_body_result,PASS,PASS,PASS,PASS
DEV010,health_quantitative_growth,health,safe,clear,0-44,현재 측정한 키는 168cm입니다.,현재 측정값,no_match,0,,,PASS,PASS,PASS,PASS
DEV011,health_quantitative_growth,health,safe,clear,0-44,과거 검사에서 신장이 2cm 늘어난 것으로 기록되었습니다.,과거 관찰 기록,no_match,0,,,PASS,PASS,PASS,PASS
DEV012,health_quantitative_growth,health,boundary,boundary,0-69,성장 목표는 3cm이며 결과는 개인에 따라 달라집니다.,목표와 개인차 고지,no_match,0,,,PASS,PASS,PASS,PASS
DEV013,finance_return_warning,finance,risky,clear,80-100,투자 원금과 연 18% 수익을 확실히 보장합니다.,원금과 수익 보장,high,87,risk_finance_000001,risk_finance_000001|risk_v03_finance_return_recovery,PASS,PASS,PASS,PASS
DEV014,finance_return_warning,finance,risky,clear,80-100,이 펀드는 원금 보전과 매달 수익을 약속합니다.,원금 보전 약속,high,89,risk_finance_000001,risk_finance_000001|risk_finance_000002|risk_v03_finance_return_recovery,PASS,PASS,PASS,PASS
DEV015,finance_return_warning,finance,risky,clear,80-100,고수익을 약속하고 투자 손해는 전액 돌려드립니다.,고수익과 손해 회수,high,85,risk_v03_finance_return_recovery,risk_v03_finance_return_recovery,PASS,PASS,PASS,PASS
DEV016,finance_return_warning,finance,safe,clear,0-44,원금과 이익을 보장할 수 있는 금융상품은 없습니다.,보장 투자 부정,no_match,0,,,PASS,PASS,PASS,PASS
DEV017,finance_return_warning,finance,safe,clear,0-44,연 30% 수익 보장이라는 사기 문구를 의심해야 합니다.,사기 경고,no_match,0,,,PASS,PASS,PASS,PASS
DEV018,finance_return_warning,finance,boundary,boundary,0-69,지난해 펀드 수익률은 12%였으며 미래 결과와 다를 수 있습니다.,과거 실적과 변동 고지,no_match,0,,,PASS,PASS,PASS,PASS
DEV019,education_outcome,education,risky,clear,80-100,등록생 모두를 대학에 합격시켜 드립니다.,합격 causative,high,86,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise|risk_education_000001,PASS,PASS,PASS,PASS
DEV020,education_outcome,education,risky,clear,80-100,이 과정 수료자는 특채를 보장받습니다.,특채 보장,high,80,risk_education_000001,risk_education_000001,PASS,PASS,PASS,PASS
DEV021,education_outcome,education,risky,clear,80-100,수강만 하면 취업이 확정됩니다.,취업 확정,high,84,risk_v03_education_outcome_promise,risk_v03_education_outcome_promise,PASS,PASS,PASS,PASS
DEV022,education_outcome,education,safe,clear,0-44,전원 합격시켜 준다는 학원 광고는 주의해야 합니다.,합격 보장 경고,no_match,0,,,PASS,PASS,PASS,PASS
DEV023,education_outcome,education,safe,clear,0-44,취업 확정 문구는 심사 결과를 오도하므로 사용하면 안 됩니다.,미래 결과 문구 금지,no_match,0,,,PASS,PASS,PASS,PASS
