case_id,source_type,domain,source_name,source_url,accessed_at,original_text,surrounding_context,collection_notes,duplicate_group,expected_class,expected_range,label_confidence,label_reason,label_frozen_at,authoring_phase,actual_status,actual_status_label,actual_score,actual_grade,primary_skill_id,matched_skill_ids,actual_reason,actual_rewrite,range_pass,class_pass,verdict,failure_type,repeat_consistent,frozen_cases_sha256,evaluator_process
FB001,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,"EFSA, FDA, GMP 인증 – 100% 안전 보장",키 성장 제품 홍보 게시물의 인증·안전성 표시,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,안전 보장이지만 현재 규칙은 ‘안전성·부작용’ 명시 결합을 요구한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,review,추가 검토,58,유의,risk_v03_general_substantiation,risk_v03_general_substantiation,상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.,"기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.",PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB002,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,"100% 천연 성분 – 부작용 없음, 건강에 해롭지 않음",키 성장 제품의 원료·부작용 홍보 문구,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,45-100,medium,부작용 부재를 단정하지만 ‘전혀·제로’와 같은 승인 규칙의 절대어가 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB003,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,지금 바로 6~8cm 키 성장!,상품 게시물 첫 문장의 정량 신체 변화 주장,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,45-100,medium,정량 신체 결과 주장이지만 현재 신체 규칙의 대상 어휘는 키 성장을 포함하지 않는다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB004,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,첫 번째 프로그램 후 확실한 변화를 경험하세요,키 성장 상품의 결과 체험 유도 문구,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,변화 대상과 수치가 생략된 일반적 결과 표현이다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB005,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,"50,000명 이상의 고객이 성공적으로 경험했습니다 – 이제 당신 차례입니다!",상품 홍보 게시물의 누적 고객·성공 표현,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,성과 수치의 진위는 외부 근거가 필요하지만 승인된 조합 규칙과 직접 일치하지 않는다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB006,public_ad,health,Hito Calcium 공개 홍보 페이지,https://www.beautynailhairsalons.com/KR/Seoul/304499426073049/Hito-Calcium---%EC%95%84%EC%8B%9C%EC%95%84-%EC%A0%95%ED%92%88-%ED%82%A4-%EC%84%B1%EC%9E%A5-%EC%A0%9C%ED%92%88,2026-07-18T17:40:00+09:00,35% 할인 + 무료 배송 – 단 100명 한정!,상품 게시물의 수량 한정 판촉,공개 페이지의 표시 문구를 원문 그대로 전사,,boundary,0-69,medium,수량 한정이지만 같은 문장에 신청·구매 행동이 없다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB007,public_ad,health,매일경제 한방 다이어트 광고,https://www.mk.co.kr/news/economy/1347901,2026-07-18T17:40:00+09:00,"부작용 제로, 효과 100%의 한방다이어트",지면 광고 제목,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,80-100,high,부작용 제로와 다이어트 효능 절대 표현이 결합한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,97,높음,risk_medical_000001,risk_medical_000001|risk_v03_health_safety_absolute,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 의료 효과와 100% 같은 절대 표현이 결합합니다.,개인 상태에 따라 적절한 상담과 치료 방향을 안내합니다.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB008,public_ad,health,매일경제 한방 다이어트 광고,https://www.mk.co.kr/news/economy/1347901,2026-07-18T17:40:00+09:00,이 제품은 하루세끼 정상식사로 체력을 유지하면서 다이어트를 하므로 부작용이 전혀 없고 순수 한방 생약제로 비만해소에 이상적인 효능을 지닌 양약이라고 한박사는 이야기한다.,광고 본문 중 안전성·효능 설명,공개 페이지의 표시 문구를 원문 그대로 전사,,risky,80-100,high,부작용이 전혀 없다는 절대 부재 주장이 명시된다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,96,높음,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute|risk_v03_health_body_result,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.,부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB009,public_ad,health,성형 정보 앱 불법 광고 보도,https://news.nate.com/view/20170605n21181,2026-07-18T17:40:00+09:00,10년 무사고로 부작용 사례가 전혀 없다고 했다.,피해자가 병원 설명을 인용한 부분,보도문에 인용된 실제 광고·상담 주장 전사,,risky,80-100,high,부작용 사례가 전혀 없다고 단정한다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,high,높은 위험,88,높음,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.,부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.,PASS,PASS,PASS,,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
FB010,public_ad,health,성형 정보 앱 불법 광고 보도,https://news.nate.com/view/20170605n21181,2026-07-18T17:40:00+09:00,부작용 하나도 없고 강력추천해요.,성형 앱 후기 예시의 인용 문구,보도문에 인용된 실제 후기 문구 전사,,risky,45-100,medium,부작용 부재 후기이지만 승인 규칙의 절대어 표면형과 다르다.,2026-07-18T17:40:00+09:00,v0.3-final-pre-analyzer-freeze,no_match,규칙 미일치,0,미탐지,,,,,FAIL,FAIL,FAIL,outside_expected_range,PASS,49b9316293815832965d29d9f52f4b52976d2307e7d66e827f62edd450c49659,evaluation-v0.3.0-post-freeze
