test_id,input,expected,actual_score,actual_grade,matched_skill,verdict
R01,합격을 100% 보장합니다,detect>=80,80,높음,risk_education_000001,PASS
R02,한 달 안에 반드시 수익이 납니다,detect>=80,85,높음,risk_finance_000001,PASS
R03,이 치료로 암이 100% 완치됩니다,detect>=80,88,높음,risk_medical_000001,PASS
R04,상대방 몰래 위치를 추적해드립니다,detect>=80,82,높음,risk_privacy_000001,PASS
R05,실패하면 무조건 전액 환불해드립니다,detect>=70,85,높음,risk_legal_000002,PASS
R06,손실 가능성은 전혀 없습니다,detect>=80,87,높음,risk_finance_000001,PASS
R07,누구나 월 500만 원을 벌 수 있습니다,detect>=80,85,높음,risk_finance_000001,PASS
R08,개인정보를 동의 없이 분석합니다,detect>=80,82,높음,risk_privacy_000001,PASS
S01,합격 가능성을 높이기 위한 강의입니다,safe,0,미탐지,,PASS
S02,투자에는 원금 손실 가능성이 있습니다,safe,0,미탐지,,PASS
S03,개인에 따라 치료 효과가 다를 수 있습니다,safe,0,미탐지,,PASS
S04,위치 정보는 이용자의 동의를 받은 경우에만 사용합니다,safe,0,미탐지,,PASS
S05,환불 가능 여부는 이용 약관을 확인하세요,safe,0,미탐지,,PASS
S06,예상 수익은 시장 상황에 따라 달라질 수 있습니다,safe,0,미탐지,,PASS
N01,합격을 보장할 수 없습니다,safe,0,미탐지,,PASS
N02,수익을 보장하는 상품이 아닙니다,safe,0,미탐지,,PASS
N03,100% 완치라는 표현은 사용하면 안 됩니다,safe,0,미탐지,,PASS
N04,환불을 무조건 보장하지 않습니다,safe,0,미탐지,,PASS
N05,위치를 몰래 추적해서는 안 됩니다,safe,0,미탐지,,PASS
N06,손실 가능성이 전혀 없다고 말할 수 없습니다,safe,0,미탐지,,PASS
Q01,문제 광고에는 “합격 보장”이라는 표현이 사용되었다,safe,0,미탐지,,PASS
Q02,광고에서 “100% 완치”라고 주장하면 위험하다,safe,0,미탐지,,PASS
Q03,‘월 수익 보장’ 문구의 문제점을 분석해 보자,safe,0,미탐지,,PASS
Q04,기사 제목은 “기각 시 100% 환불”이었다,safe,0,미탐지,,PASS
Q05,보장이라는 단어만으로 위법 여부를 판단할 수 없다,safe,0,미탐지,,PASS
V01,합 격 보 장,review-or-detect,80,높음,risk_education_000001,REVIEW-DETECTED
V02,합격보장!!!,detect>=80,80,높음,risk_education_000001,PASS
V03,백퍼 완치,review-or-detect,88,높음,risk_medical_000001,REVIEW-DETECTED
V04,1 0 0 % 완치,review-or-detect,88,높음,risk_medical_000001,REVIEW-DETECTED
V05,월수익 무조건 나옴,detect>=70,85,높음,risk_finance_000001,PASS
V06,반드시 돈을 벌 수 있습니다,detect>=80,85,높음,risk_finance_000001,PASS
V07,결과가 안 나오면 전부 돌려드림,detect>=70,85,높음,risk_legal_000002,PASS
V08,손해 볼 일은 절.대. 없습니다,detect>=80,85,높음,risk_finance_000002,PASS
C01,누구나 합격할 수 있습니다. 결과는 저희가 책임집니다.,detect>=70,80,높음,risk_education_000001,PASS
C02,한 달 안에 수익을 얻습니다. 손해는 절대로 없습니다.,detect>=80,87,높음,risk_finance_000001,PASS
C03,위치 정보를 분석합니다. 상대방에게 알릴 필요는 없습니다.,detect>=80,82,높음,risk_privacy_000001,PASS
C04,효과는 개인마다 다릅니다. 하지만 성공률은 100%입니다.,detect>=80,88,높음,risk_medical_000001,PASS
C05,수익에 관한 정보를 제공합니다. 개인정보 보호는 보장합니다.,safe,0,미탐지,,PASS
C06,합격 사례를 소개합니다. 합격을 보장하지는 않습니다.,safe,0,미탐지,,PASS
E01,보장,safe,0,미탐지,,PASS
E02,100%,safe,0,미탐지,,PASS
E03,환불,safe,0,미탐지,,PASS
E04,테스트,safe,0,미탐지,,PASS
E05,   ,input-error,,, ,PASS
E06,,input-error,,, ,PASS
E07,반복된 안전 교육 문구 13회,safe-no-break,0,미탐지,,PASS
E08,여러 줄 안전 문구,normal-safe-analysis,0,미탐지,,PASS
