case_id,source_type,domain,source_name,source_url,accessed_at,original_text,surrounding_context,speech_act,expected_class,label_confidence,label_reason,label_frozen_at,authoring_phase
V031FB001,public_ad_excerpt,health,린블 키 성장 광고 점검,https://fineirean.com/blog/issue/14686,2026-07-18T20:20:00+09:00,성장판 닫힌 딸 키 5cm 더 키웠어요,식약처 적발 사례로 소개된 정량 키 성장 광고 문구,direct_claim,risky,high,제품 사용과 정량 신체 결과를 직접 연결한 광고 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB002,public_ad_excerpt,health,린블 키 성장 광고 점검,https://fineirean.com/blog/issue/14686,2026-07-18T20:20:00+09:00,시작한 지 3개월 만에 5cm가 컸어요,식약처 적발 사례로 소개된 기간·정량 키 성장 광고 문구,direct_claim,risky,high,기간과 정량 신체 결과를 직접 약속하는 표현,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB003,public_ad_excerpt,health,리그로우 cm플러스 광고 검토,https://seosarang.tistory.com/entry/1%EC%9C%84-%EC%98%81%EC%96%91%EC%A0%9C-%EB%A6%AC%EA%B7%B8%EB%A1%9C%EC%9A%B0-cm%ED%94%8C%EB%9F%AC%EC%8A%A4-%ED%9B%84%EA%B8%B0-%ED%95%B4%EC%8D%B9-JMF%EB%85%BC%EB%AC%B8-%ED%8A%B9%ED%97%88-%EC%B5%9C%EC%A0%80%EA%B0%80-%EC%82%AC%EA%B8%B0-%EC%A3%BC%EC%9E%91-%EC%A1%B0%EC%9E%91-%EA%B4%91%EA%B3%A0,2026-07-18T20:20:00+09:00,매일 이거 먹고 11cm 컸어요,제품 광고에 사용됐다고 소개된 섭취·정량 성장 문구,direct_claim,risky,high,섭취와 11cm 성장 결과를 직접 연결한 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB004,public_ad_excerpt,health,리그로우 cm플러스 광고 검토,https://seosarang.tistory.com/entry/1%EC%9C%84-%EC%98%81%EC%96%91%EC%A0%9C-%EB%A6%AC%EA%B7%B8%EB%A1%9C%EC%9A%B0-cm%ED%94%8C%EB%9F%AC%EC%8A%A4-%ED%9B%84%EA%B8%B0-%ED%95%B4%EC%8D%B9-JMF%EB%85%BC%EB%AC%B8-%ED%8A%B9%ED%97%88-%EC%B5%9C%EC%A0%80%EA%B0%80-%EC%82%AC%EA%B8%B0-%EC%A3%BC%EC%9E%91-%EC%A1%B0%EC%9E%91-%EA%B4%91%EA%B3%A0,2026-07-18T20:20:00+09:00,6개월만에 13cm 컸어요,제품 광고에 사용됐다고 소개된 기간·정량 성장 문구,direct_claim,risky,high,6개월과 13cm 성장 결과를 직접 연결한 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB005,public_ad,health,아이클타임 임상 데이터 소개,https://babydays.tistory.com/entry/%ED%82%A4%EC%84%B1%EC%9E%A5-%EC%98%81%EC%96%91%EC%A0%9C-%ED%9A%A8%EA%B3%BC-%EC%9E%88%EB%82%98%EC%9A%94-%EC%95%84%EC%9D%B4%ED%81%B4%ED%83%80%EC%9E%84-%EC%8B%A4%EC%A0%9C-%ED%9B%84%EA%B8%B0-%EC%A0%95%EB%A6%AC,2026-07-18T20:20:00+09:00,"대조군 대비 35% 추가 성장, 0.90cm",키 성장 건강기능식품의 임상 결과를 홍보하는 본문,direct_claim,risky,high,제품과 정량 성장 결과를 직접 연결한 광고성 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB006,public_ad,health,아이클타임 임상 데이터 소개,https://babydays.tistory.com/entry/%ED%82%A4%EC%84%B1%EC%9E%A5-%EC%98%81%EC%96%91%EC%A0%9C-%ED%9A%A8%EA%B3%BC-%EC%9E%88%EB%82%98%EC%9A%94-%EC%95%84%EC%9D%B4%ED%81%B4%ED%83%80%EC%9E%84-%EC%8B%A4%EC%A0%9C-%ED%9B%84%EA%B8%B0-%EC%A0%95%EB%A6%AC,2026-07-18T20:20:00+09:00,24주 시험군 중 49%가 1cm 이상 추가 성장했어요,키 성장 건강기능식품의 임상 결과를 홍보하는 본문,direct_claim,risky,high,제품군의 정량 신체 결과를 성공 비율과 함께 제시한 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB007,public_ad,education,새서울목욕관리학원,https://academy.newseouls.com/,2026-07-18T20:20:00+09:00,거의 100% 취업 보장,학원 수입 및 전망 섹션의 홍보 문구,direct_claim,risky,high,교육 수료 후 취업 결과를 거의 전부 보장하는 표현,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB008,public_ad,education,새서울목욕관리학원,https://academy.newseouls.com/,2026-07-18T20:20:00+09:00,현재 일반적인 수입은 300만원~500만원 이상의 고소득을 유지하고 있습니다,학원 수료 후 직업 수입 전망을 홍보하는 문구,direct_claim,risky,high,교육 선택과 구체적 미래 소득 결과를 연결한 주장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB009,public_ad,education,수도직업전문학교 합격보장 패키지,https://www.esudo.co.kr/shop_view/?idx=93,2026-07-18T20:20:00+09:00,버섯종균 기능사 자격증 취득 100% 합격보장,자격증 과정 상품명과 핵심 홍보 문구,direct_claim,risky,high,교육 상품이 시험 합격을 100% 보장하는 표현,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB010,public_ad,education,수도직업전문학교 합격보장 패키지,https://www.esudo.co.kr/shop_view/?idx=93,2026-07-18T20:20:00+09:00,합격 보장 패키지이므로 반드시 합격 시켜 드립니다,과정 상세의 직접적인 합격 보장 문구,direct_offer,risky,high,교육 제공자가 수강생의 합격을 반드시 실현한다고 약속함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB011,public_ad,finance,MM.Bc 장기채권 상품소개,https://www.mmbcfnc.com/page/product/mmbc,2026-07-18T20:20:00+09:00,"만기 시 원금은 100% 환급되며, 원금 손실 위험이 없습니다",금융 상품의 만기 상환 혜택을 홍보하는 문구,direct_claim,risky,high,투자 원금과 무손실을 절대적으로 보장하는 표현,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB012,public_ad,finance,MM.Bc 장기채권 상품소개,https://www.mmbcfnc.com/page/product/mmbc,2026-07-18T20:20:00+09:00,"투자 원금 100% 보장, 안전한 투자 보장",금융 상품 주요 혜택 목록,direct_claim,risky,high,투자 원금과 안전을 동시에 절대 보장함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB013,reported_ad_excerpt,finance,조선일보 유사수신 피해 보도,https://www.chosun.com/site/data/html_dir/2017/09/07/2017090701888.html,2026-07-18T20:20:00+09:00,"자기 회사에 돈을 맡기면 연 12~72%의 확정 수익을 보장하고, 투자 기간이 끝나면 원금도 돌려준다",피해자가 받은 투자 권유 내용을 인용한 문장,direct_offer,risky,high,단독 문구는 확정 고수익과 원금 반환을 함께 약속함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB014,reported_ad_excerpt,finance,조선일보 유사수신 피해 보도,https://www.chosun.com/site/data/html_dir/2017/09/07/2017090701888.html,2026-07-18T20:20:00+09:00,"높은 수익, 원금 보장",보도에서 유사수신 업체가 앞세운 제안으로 제시된 짧은 문구,direct_claim,risky,high,단독 문구는 고수익과 원금 보장을 결합함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB015,reported_ad_excerpt,legal,인사이트 변호사 과장 광고 징계 보도,https://www.insight.co.kr/amp/news/562477,2026-07-18T20:20:00+09:00,"승소 가능성 90% 이상, 손해배상은 99% 승소 예상",징계 사례의 단체 채팅방 광고 문구,direct_claim,risky,high,법률 사건 결과를 구체적 확률로 단정해 수임을 유도함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB016,reported_ad_excerpt,legal,인사이트 변호사 과장 광고 징계 보도,https://www.insight.co.kr/amp/news/562477,2026-07-18T20:20:00+09:00,"전관예우 변호사 법인, 형량 예측 서비스 제공",징계 사례에서 공개적으로 사용한 권위·결과 예측 문구,direct_claim,risky,high,전관 권위와 형량 예측을 결합해 법률 결과 기대를 유발함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB017,public_ad,privacy,MoniMaster 아내 위치 추적 안내,https://www.monimaster.com/kr/phone/find-my-wifes-phone/,2026-07-18T20:20:00+09:00,아내 몰래 휴대폰을 추적하는 방법,모니터링 제품 사용 안내의 섹션 제목,direct_offer,risky,high,상대방 몰래 휴대폰을 추적하는 방법을 직접 제공함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB018,public_ad,privacy,MoniMaster 아내 위치 추적 안내,https://www.monimaster.com/kr/phone/find-my-wifes-phone/,2026-07-18T20:20:00+09:00,아내의 문자 메시지를 볼 수 있습니다,제품의 통화·문자 메시지 모니터링 기능 설명,direct_offer,risky,high,상대방의 문자 메시지 열람 기능을 직접 제안함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB019,public_ad,general,콜로소 72시간 특가,https://coloso.co.kr/event/timesale202602,2026-07-18T20:20:00+09:00,망설이면 마감돼요! 단 72시간 한정 특별 혜택,교육 상품의 기간 한정 판매 유도 문구,direct_offer,risky,high,짧은 마감 시한과 구매 결정을 직접 결합함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB020,public_ad,general,콜로소 72시간 특가,https://coloso.co.kr/event/timesale202602,2026-07-18T20:20:00+09:00,72시간이 지나면 구매할 수 없어요,한정 판매의 상실 압박 문구,direct_offer,risky,high,정해진 시간 후 구매 불가를 내세워 즉시 결정을 압박함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB021,public_guidance,health,질병관리청 건강기능식품 안내,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=6548,2026-07-18T20:20:00+09:00,"흔히 의약품보다 안전하다고 생각하지만, 부작용도 발생할 수 있어서 주의가 필요합니다",건강기능식품 섭취 시 주의사항,warning,safe,high,부작용 가능성을 알리는 소비자 안전 경고임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB022,public_guidance,health,질병관리청 건강기능식품 안내,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=6548,2026-07-18T20:20:00+09:00,기능성이 반드시 향상된다는 식으로 효과를 지나치게 장담하는 광고 역시 주의할 필요가 있습니다,허위·과대광고 구별 방법,criticism,safe,high,절대 효능 광고를 비판하고 주의를 촉구함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB023,public_guidance,health,Gardenee 성인 키 영양제 팩트체크,https://agmazon.com/blog/articles/lifestyle/202511/adult-height-supplements-review.html,2026-07-18T20:20:00+09:00,"“성인이 되어도 키가 클 수 있다!”, “숨겨진 3cm를 찾아드립니다!” 인터넷을 조금만 둘러보면 이런 솔깃한 광고 문구들을 쉽게 찾아볼 수 있습니다",과대광고 실체를 검토하는 글의 인용·소개 문장,criticism,safe,high,위험 문구를 인용해 과대광고 사례로 소개하는 비판 맥락임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB024,public_guidance,health,Gardenee 성인 키 영양제 팩트체크,https://agmazon.com/blog/articles/lifestyle/202511/adult-height-supplements-review.html,2026-07-18T20:20:00+09:00,성장판이 닫힌 후 성인의 키가 크는 것은 과학적으로 불가능합니다,정형외과 전문의의 반박 설명,criticism,safe,high,성인 키 성장 약속을 명시적으로 부정함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB025,public_report,education,한국경제 AI 자격증 피해 보도,https://v.daum.net/v/tN2NQJvmWr,2026-07-18T20:20:00+09:00,“100% 취업 보장”이라는 홍보 문구와 달리 실제 교육 내용은 유튜브 무료 강의 수준이었습니다,자격증 과정 피해 사례 보도,criticism,safe,high,취업 보장 광고와 실제 교육의 차이를 비판하는 문장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB026,public_report,education,한국경제 AI 자격증 피해 보도,https://v.daum.net/v/tN2NQJvmWr,2026-07-18T20:20:00+09:00,정비되지 않은 민간자격과 관련 교육 시장의 난립은 취업이 절박한 청년에게 피해를 줄 우려가 큽니다,민간 자격 시장의 소비자 피해 분석,warning,safe,high,교육 시장 피해 가능성을 경고하는 보도 문장,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB027,public_report,education,조선일보 지방대 미달 보도,https://www.chosun.com/national/education/2021/03/03/N4JWTHKN4JF2LF3POC36XQTJQQ/?outputType=amp,2026-07-18T20:20:00+09:00,“수능 미응시자도 지원할 수 있고 신청하면 합격률 100% 보장한다”는 내용이다,지방대 추가 모집 광고 내용을 인용한 보도,report,safe,high,보도 문장이 광고 문구를 인용해 현상을 설명함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB028,public_report,education,조선일보 지방대 미달 보도,https://www.chosun.com/national/education/2021/03/03/N4JWTHKN4JF2LF3POC36XQTJQQ/?outputType=amp,2026-07-18T20:20:00+09:00,신입생을 한 명이라도 더 모으려고 온갖 방법을 썼지만 미달을 막지 못했다는 것이다,지방 사립대 미달 상황에 대한 보도,report,safe,high,특정 결과를 보장하거나 상품을 권유하지 않는 설명임,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB029,public_guidance,legal,법무법인 여온 변호사 선택 안내,https://www.yeoon.co.kr/column/42/,2026-07-18T20:20:00+09:00,법조계에서 100퍼센트 결과를 장담하는 것은 기만에 가깝습니다,변호사 선임 시 과장 광고를 피하는 안내,criticism,safe,high,법률 결과 보장을 명시적으로 비판함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB030,public_guidance,legal,법무법인 여온 변호사 선택 안내,https://www.yeoon.co.kr/column/42/,2026-07-18T20:20:00+09:00,"무리한 수임을 지양하고, 개별 사건의 기록을 상세히 분석하여 맞춤형 양형 자료를 준비합니다",해당 로펌의 사건 검토 원칙 설명,informational,safe,high,결과를 보장하지 않고 검토 절차를 설명함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB031,public_guidance,privacy,알법 배우자 위치추적 처벌 안내,https://albup.co.kr/page/column_detail.php?content_id=416,2026-07-18T20:20:00+09:00,상대방의 동의 없이 위치추적 앱이나 감시 프로그램을 설치하는 행위는 관계에 상관없이 형사처벌 대상입니다,불법 위치추적의 핵심 결론,warning,safe,high,동의 없는 추적을 금지하고 처벌을 경고함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB032,public_guidance,privacy,알법 배우자 위치추적 처벌 안내,https://albup.co.kr/page/column_detail.php?content_id=416,2026-07-18T20:20:00+09:00,상대방 본인의 명시적 동의 없이 스마트폰에 몰래 추적 앱을 설치하면 여러 법률을 동시에 위반하게 됩니다,불법 위치추적의 법적 위험 설명,warning,safe,high,몰래 추적 행위를 위법이라고 명시함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB033,public_guidance,privacy,Kaspersky 스토커웨어 설명,https://www.kaspersky.co.kr/resource-center/definitions/what-is-stalkerware,2026-07-18T20:20:00+09:00,스토커웨어란 제3자가 사용자 모르게 몰래 장치의 위치와 활동을 추적할 수 있게 해주는 소프트웨어입니다,보안 교육 문서의 용어 정의,definition,safe,high,감시 기능을 판매하지 않고 위험 소프트웨어를 정의함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB034,public_guidance,privacy,Kaspersky 스토커웨어 설명,https://www.kaspersky.co.kr/resource-center/definitions/what-is-stalkerware,2026-07-18T20:20:00+09:00,다른 사람의 장치에 동의 없이 스토커웨어를 설치하는 것은 불법입니다,스토커웨어 합법성 안내,warning,safe,high,동의 없는 감시 앱 설치를 불법이라고 경고함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
V031FB035,public_guidance,finance,매일신문 투자사기 대처 안내,https://www.imaeil.com/page/view/2026060109020438677,2026-07-18T20:20:00+09:00,"과도한 이익 보장 광고를 경계하고, 사기가 의심된다면 즉시 추가 송금을 중단한 채 증거 확보와 가압류 등 신속한 법적 조치에 나서야 합니다",투자사기 구별과 대처 방법 답변,warning,safe,high,이익 보장 광고를 경계하고 송금 중단을 권고함,2026-07-18T20:20:00+09:00,v0.3.1-final-pre-analyzer-freeze
