"test_id","category","input","expected_status","expected_score_range","actual_score","actual_status","matched_skill_ids","reason","suggested_rewrite","verdict","issue_type","notes"
"G001","health_safety","이 시술은 부작용이 절대 없습니다.","high","80-100","88","high","risk_v03_health_safety_absolute","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.","부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.","PASS","none","부작용 절대 부재"
"G002","health_safety","제품의 위해성이 조금도 없다고 확언합니다.","high","80-100","88","high","risk_v03_health_safety_absolute","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.","부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.","PASS","none","위해성 절대 부재 동의 표현"
"G003","health_safety","안전성은 100% 안전하다고 보장합니다.","high","80-100","88","high","risk_v03_health_safety_absolute","부작용·안전성 대상과 절대적 부재 표현이 결합합니다.","부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.","PASS","none","100% 안전성 보장"
"G004","health_safety","부작용 가능성이 있으므로 전문가와 상담하세요.","no_match","0-0","0","no_match","","","","PASS","none","전문가 상담 경고"
"G005","health_safety","부작용이 전혀 없다고 말할 수 없습니다.","no_match","0-0","0","no_match","","","","PASS","none","절대 부재 주장을 부정"
"G006","health_disease","이 제품은 혈당을 확실히 조절해 줍니다.","high","80-100","82","high","risk_v03_health_disease_effect","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none","혈당 조절 효능"
"G007","health_disease","숙취를 완화하는 효능이 있습니다.","high","80-100","82","high","risk_v03_health_disease_effect","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none","숙취 완화 효능"
"G008","health_disease","이 기기는 통증 제거 효과를 제공합니다.","high","80-100","82","high","risk_v03_health_disease_effect","질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none","통증 제거 효능"
"G009","health_disease","혈당 관리에 도움을 줄 수 있으며 개인차가 있습니다.","no_match","0-0","0","no_match","","","","PASS","none","가능성·개인차 제한"
"G010","health_disease","연구 표본에서 변비 개선 경향을 관찰했습니다.","no_match","0-0","0","no_match","","","","PASS","none","제한된 연구 설명"
"G011","health_body","7일 동안 체지방 3kg을 줄여 드립니다.","high","80-100","82","high","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none","단기간 정량 감량"
"G012","health_body","한 달이면 몸매를 확실하게 만들어 줍니다.","high","80-100","82","high","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none","기간·확정 외모 결과"
"G013","health_body","다이어트로 반드시 체중 감량에 성공합니다.","high","80-100","82","high","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none","감량 결과 확정"
"G014","health_body","개인차에 따라 체중 변화가 다를 수 있습니다.","no_match","0-0","0","no_match","","","","PASS","none","개인차 고지"
"G015","health_body","건강한 식습관 목표를 세우는 다이어트 프로그램입니다.","no_match","0-0","0","no_match","","","","PASS","none","지원 과정 안내"
"G016","legal_outcome","이 사건은 무조건 승소를 보장합니다.","high","80-100","85","high","risk_v03_legal_outcome_promise","조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.","PASS","none","승소 결과 보장"
"G017","legal_outcome","합의금 수령을 100% 약속드립니다.","high","80-100","85","high","risk_v03_legal_outcome_promise","법률·행정 결과와 확정·보장·약속 표현이 결합합니다.","사건별 사실관계와 절차에 따라 결과가 달라질 수 있으며, 가능한 대응 범위를 안내합니다.","PASS","none","합의금 결과 약속"
