"case_id","original_text","expected_class","label_confidence","actual_score","status","speech_act","matched_skill_ids","reason","suggested_rewrite","verdict","issue_type","notes"
"RW001","무조건 100% 수익 보장","risky","high","87","high","condition","risk_finance_000001|risk_v03_finance_return_recovery","조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none",""
"RW002","수익만 드리는 투자자문사","risky","high","85","high","promotion","risk_v03_finance_return_recovery","투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none",""
"RW003","투자 손실 시 전액 환불","risky","high","85","high","statement","risk_v03_finance_return_recovery","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none",""
"RW004","특별 할인 이벤트 실시","safe","high","0","no_match","statement","","","","PASS","none",""
"RW005","타사 환불 대행","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW006","고수익 보장","risky","high","85","high","promotion","risk_v03_finance_return_recovery","투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none",""
"RW007","원금 100% 보장, 고수익 귀뚜라미 사업","risky","high","87","high","promotion","risk_finance_000001|risk_v03_finance_return_recovery","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none",""
"RW008","3개월이면 원금을 회수할 수 있다","risky","high","85","high","statement","risk_v03_finance_return_recovery","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none",""
"RW009","연간 200%가 넘는 수익을 올릴 수 있다","risky","high","85","high","statement","risk_v03_finance_return_recovery","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 투자·수익·원금·손실 대상과 보장·회수·환불 표현이 결합합니다.","예상 수익의 산정 근거와 함께 원금 손실 가능성 및 주요 위험을 안내합니다.","PASS","none",""
"RW010","전문가의 밀착지원, 안정적 수익을 보장","risky","high","87","high","promotion","risk_finance_000001|risk_v03_finance_return_recovery","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none",""
"RW011","월 200만원 이상 보장","ambiguous","medium","60","review","promotion","risk_v03_income_guarantee","소득·수입 대상과 보장·최소 금액 표현이 결합합니다.","소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW012","500만원 이상 소득 보장","risky","high","88","high","promotion","risk_v03_income_universal_guarantee|risk_v03_income_guarantee","구인·부업·소득 대상과 보편성·확정·보장 표현이 결합합니다.","소득 산정 조건, 업무 시간, 실제 실적 범위와 지급 기준을 구체적으로 안내합니다.","PASS","none",""
"RW013","종양 등도 배출됩니다","risky","high","82","high","statement","risk_v03_health_disease_effect","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none",""
"RW014","1주일이면 살이 쏙 빠집니다","risky","high","82","high","statement","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none",""
"RW015","월 7∼8kg은 가뿐히!","risky","high","82","high","statement","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none",""
"RW016","100% 확실한 성공다이어트","risky","high","82","high","statement","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none",""
"RW017","미스코리아 몸매 만드는 데 딱 한달!","risky","high","82","high","statement","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none",""
"RW018","부작용이 전혀 없습니다","risky","high","88","high","statement","risk_v03_health_safety_absolute","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.","부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.","PASS","none",""
"RW019","굶을 필요가 없습니다","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW020","책임감량제","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW021","모공 수 개선","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW022","10대 연령의 눈가로 만들어 줌","risky","high","82","high","statement","risk_v03_health_body_result","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.","생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.","PASS","none",""
"RW023","뼈건강, 혈당조절, 항암효과에 효능","risky","high","82","high","statement","risk_v03_health_disease_effect","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none",""
"RW024","변비, 당뇨개선, 숙취개선에 효능","risky","high","82","high","statement","risk_v03_health_disease_effect","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 치료·개선 효능 주장이 결합합니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.","PASS","none",""
"RW025","서류 합격 보장!","risky","high","86","high","promotion","risk_v03_education_outcome_promise|risk_education_000001","교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
"RW026","조건에 상관없이 100% 진학을 보장한다","risky","high","84","high","condition","risk_v03_education_outcome_promise","조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
"RW027","이미 100% 합격을 해당학과 교수에게 보장받았다","risky","high","86","high","promotion","risk_v03_education_outcome_promise|risk_education_000001","교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
"RW028","100명 보내면 100명 다 합격시켜 주기로 약속했다","risky","high","84","high","promotion","risk_v03_education_outcome_promise","교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
"RW029","일단 1개월만 다니면서 출석을 잘하시면 원서를 써드릴게요","ambiguous","medium","0","no_match","statement","","","","PASS","none","입증 또는 추가 문맥 검토 대상"
"RW030","합격률 300% 올리는 대체서식 작성법","risky","high","90","high","statement","risk_v03_education_outcome_promise|risk_v03_education_substantiation","사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육·취업 결과와 전원·보장·약속 표현이 결합합니다.","결과 보장 대신 준비 과정, 지원 범위와 개인별 학습 목표를 안내합니다.","PASS","none",""
