case_id,category,input_text,expected_status,rules_status,ai_risk_intent,policy_relevance,risk_family,speech_act,context_relation,confidence,actual_status,score,conflict,conflict_reasons,review_reason,provider_status,fallback,provider_ms,validation_ms,rule_ms,total_ms,verdict
GEN001,general_cta,새 디자인 도구를 오늘 무료로 시작해 보세요.,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3500,0,2,3502,PASS
GEN002,general_cta,우리의 여름 컬렉션을 지금 둘러보세요.,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3555,0,2,3557,PASS
GEN004,general_cta,원하는 요금제를 골라 서비스를 시작하세요.,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3696,0,3,3699,PASS
GEN008,procedure_feature,문서 페이지에서 공유 버튼을 클릭해 링크를 복사합니다.,no_match,no_match,contextual_only,none,none,condition,conditions,0.9,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3584,0,2,3587,PASS
GEN009,procedure_feature,앱의 추가 기능 패널에서 달력 도구를 선택합니다.,no_match,no_match,contextual_only,none,none,condition,conditions,0.9,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3292,0,3,3295,PASS
GEN011,past_information,지난해 고객 지원 사례를 정리한 보고서입니다.,no_match,no_match,contextual_only,none,none,report,defines,0.9,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3207,0,2,3210,PASS
GEN012,past_information,과거 행정심판 결과를 소개하는 정보 자료입니다.,no_match,no_match,contextual_only,none,none,definition,defines,0.9,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3221,0,2,3224,PASS
GEN013,past_information,금융 사기 피해를 경고하는 기사 제목입니다.,no_match,no_match,contextual_only,none,none,report,reports,0.9,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3288,0,2,3290,PASS
GEN015,substantiation,자사 조사에서 고객 만족도 94%를 기록했습니다.,review,no_match,,,,,,,review,55,true,interpreter_validation_failed,AI 문맥 분석 결과를 안전하게 검증할 수 없어 담당자 검토로 전환했습니다.,validation_error,validation,3712,0,2,3714,PASS
GEN016,substantiation,동급 제품 중 업계 최고 수준의 배터리 성능입니다.,review,no_match,direct_promotional,substantiation,general_substantiation,claim,supports,0.9,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3806,0,2,3809,PASS
