case_id,source_type,category,input,expected_class,label_confidence,expected_reason,control_tag,label_frozen_at,labeler_process,actual_status,actual_score,actual_grade,primary_skill_id,matched_skill_ids,actual_reason,actual_rewrite,verdict,failure_type,frozen_cases_sha256,evaluator_process
PB001,synthetic_generalization,health,부작용이 조금도 없는 완전 안전한 시술입니다.,risky,high,부작용 부재와 절대 안전을 함께 보장한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,88,높음,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.,부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB002,synthetic_generalization,health,이 건강식품은 위해가 전혀 없고 100% 안전합니다.,risky,high,위해 가능성을 절대적으로 부정한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,88,높음,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 부작용·안전성 대상과 절대적 부재 표현이 결합합니다.,부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB003,synthetic_generalization,health,이 치료는 부작용 제로라고 자신 있게 보장합니다.,risky,high,부작용 제로를 보장한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,88,높음,risk_v03_health_safety_absolute,risk_v03_health_safety_absolute,부작용·안전성 대상과 절대적 부재 표현이 결합합니다.,부작용 가능성과 개인차가 있으므로 사용 전 전문가와 상담하고 주의사항을 확인해 주세요.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB004,synthetic_generalization,health,이 제품은 당뇨를 무조건 개선합니다.,risky,high,질환 개선을 무조건 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_disease_effect,risk_v03_health_disease_effect,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 질환·증상 대상과 효능·치료 주장에 확정 또는 과장 신호가 함께 나타납니다.","확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB005,synthetic_generalization,health,관절염 통증을 확실하게 완화하는 효능을 보장합니다.,risky,high,통증 완화를 확정·보장한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_disease_effect,risk_v03_health_disease_effect,질환·증상 대상과 효능·치료 주장에 확정 또는 과장 신호가 함께 나타납니다.,"확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB006,synthetic_generalization,health,모든 환자의 변비를 완전히 개선합니다.,risky,high,모든 환자에 대한 과도한 적용 범위를 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_disease_effect,risk_v03_health_disease_effect,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 효능·치료 주장에 확정 또는 과장 신호가 함께 나타납니다.,"확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB007,synthetic_generalization,health,이 한 병이면 위암을 완치합니다.,risky,high,식품·제품으로 암 완치를 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_disease_effect,risk_v03_health_disease_effect,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 질환·증상 대상과 효능·치료 주장에 확정 또는 과장 신호가 함께 나타납니다.,"확인된 근거와 적용 범위를 밝히고, 질환이 있는 경우 전문가와 상담하도록 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB008,synthetic_generalization,health,일주일 다이어트로 6kg 감량합니다.,risky,high,짧은 기간의 정량 감량 결과를 제시한다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_body_result,risk_v03_health_body_result,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.,생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB009,synthetic_generalization,health,체중 8kg을 반드시 줄여 드립니다.,risky,high,체중 결과와 확정 신호가 결합한다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_body_result,risk_v03_health_body_result,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.,생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB010,synthetic_generalization,health,한 달 만에 체지방 5kg 감량을 책임집니다.,risky,high,기간·정량 신체 결과를 책임진다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,high,82,높음,risk_v03_health_body_result,risk_v03_health_body_result,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 신체 결과 대상과 절대성·기간·정량 표현이 결합합니다.,생활 습관 개선을 지원하는 프로그램이며 결과와 기간은 개인에 따라 달라질 수 있습니다.,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
