case_id,source_type,category,input,expected_class,label_confidence,expected_reason,control_tag,label_frozen_at,labeler_process
PB001,synthetic_generalization,health,부작용이 조금도 없는 완전 안전한 시술입니다.,risky,high,부작용 부재와 절대 안전을 함께 보장한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB002,synthetic_generalization,health,이 건강식품은 위해가 전혀 없고 100% 안전합니다.,risky,high,위해 가능성을 절대적으로 부정한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB003,synthetic_generalization,health,이 치료는 부작용 제로라고 자신 있게 보장합니다.,risky,high,부작용 제로를 보장한다.,health_safety,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB004,synthetic_generalization,health,이 제품은 당뇨를 무조건 개선합니다.,risky,high,질환 개선을 무조건 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB005,synthetic_generalization,health,관절염 통증을 확실하게 완화하는 효능을 보장합니다.,risky,high,통증 완화를 확정·보장한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB006,synthetic_generalization,health,모든 환자의 변비를 완전히 개선합니다.,risky,high,모든 환자에 대한 과도한 적용 범위를 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB007,synthetic_generalization,health,이 한 병이면 위암을 완치합니다.,risky,high,식품·제품으로 암 완치를 단정한다.,health_disease,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB008,synthetic_generalization,health,일주일 다이어트로 6kg 감량합니다.,risky,high,짧은 기간의 정량 감량 결과를 제시한다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB009,synthetic_generalization,health,체중 8kg을 반드시 줄여 드립니다.,risky,high,체중 결과와 확정 신호가 결합한다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB010,synthetic_generalization,health,한 달 만에 체지방 5kg 감량을 책임집니다.,risky,high,기간·정량 신체 결과를 책임진다.,health_body,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB011,synthetic_generalization,legal,이 소송은 무조건 승소하도록 보장해 드립니다.,risky,high,승소 결과를 무조건 보장한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB012,synthetic_generalization,legal,형사 사건은 반드시 무죄가 나옵니다.,risky,high,무죄 결과를 반드시 단정한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB013,synthetic_generalization,legal,합의금 100% 수령 결과를 약속합니다.,risky,high,합의금 결과를 100% 약속한다.,legal_outcome,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB014,synthetic_generalization,finance,이 투자 상품은 원금을 무조건 보장합니다.,risky,high,투자 원금의 손실 가능성을 제거한다.,finance_recovery,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
PB015,synthetic_generalization,finance,손실이 나면 투자금 전액을 환불해 드립니다.,risky,high,투자 손실의 전액 환불을 약속한다.,finance_recovery,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation
