"case_id","root_cause","related_skill","recommended_layer","notes"
"RW002","missing_skill","risk_v03_finance_return_recovery","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW003","missing_skill","risk_v03_finance_return_recovery","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW004","scoring_or_output","risk_v03_finance_return_recovery","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW005","scoring_or_output","risk_v03_finance_return_recovery","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW006","missing_skill","risk_v03_finance_return_recovery","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW008","missing_skill","risk_v03_finance_return_recovery","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW009","missing_skill","risk_v03_finance_return_recovery","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW010","scoring_or_output","risk_v03_finance_return_recovery","scoring","탐지는 됐지만 권위 신호와 수익 보장 사이의 우선순위 및 출력 근거 조정이 필요했다."
"RW011","scoring_or_output","risk_v03_income_guarantee","rewrite","탐지는 됐지만 소득 문구를 투자 상품으로 단정한 근거·대체 문구가 부적절했다."
"RW012","missing_skill","risk_v03_income_guarantee","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW013","missing_skill","risk_v03_health_disease_effect","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW014","missing_skill","risk_v03_health_body_result","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW015","missing_skill","risk_v03_health_body_result","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW016","missing_skill","risk_v03_health_body_result","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW017","missing_skill","risk_v03_health_body_result","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW018","missing_skill","risk_v03_health_safety_absolute","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW019","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW020","scoring_or_output","risk_v03_health_body_result","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW021","scoring_or_output","risk_v03_health_body_result","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW022","missing_skill","risk_v03_health_body_result","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW023","missing_skill","risk_v03_health_disease_effect","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW024","missing_skill","risk_v03_health_disease_effect","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW026","missing_skill","risk_v03_education_outcome_promise","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW028","missing_skill","risk_v03_education_outcome_promise","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW029","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW030","missing_skill","risk_v03_education_outcome_promise","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW032","scoring_or_output","risk_v03_education_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW033","scoring_or_output","risk_v03_education_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW035","scoring_or_output","risk_v03_legal_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW036","scoring_or_output","risk_v03_legal_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW037","scoring_or_output","none","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW038","missing_skill","risk_v03_legal_outcome_promise","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW039","scoring_or_output","risk_v03_legal_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW040","scoring_or_output","risk_v03_legal_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW041","missing_skill","risk_v03_legal_outcome_promise","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW042","scoring_or_output","risk_v03_legal_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW053","missing_skill","risk_v03_privacy_covert_surveillance","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW054","missing_skill","risk_v03_privacy_stealth_install","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW055","scoring_or_output","risk_v03_privacy_data_access_review","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW056","missing_skill","risk_v03_privacy_covert_surveillance","skill_bundle","기존 reviewed 번들에 해당 분야의 재사용 가능한 조합 규칙이 없어 명백한 위험을 탐지하지 못했다."
"RW057","scoring_or_output","risk_v03_privacy_data_access_review","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW059","scoring_or_output","risk_v03_privacy_data_access_review","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW060","scoring_or_output","risk_v03_privacy_data_access_review","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW061","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW062","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW063","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW064","scoring_or_output","risk_v03_general_urgency","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW065","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW066","scoring_or_output","risk_v03_general_urgency","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW067","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW068","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW069","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW070","scoring_or_output","risk_v03_general_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW071","engine_context","risk_v03_education_outcome_promise","engine","위험 표현을 금지·비판하는 문맥인데 none_of와 극성 범위를 전역 처리해 오탐했다. 절·문장 관계 기반 억제가 필요하다."
"RW082","engine_context","risk_v03_privacy_covert_surveillance","engine","위험 표현을 금지·비판하는 문맥인데 none_of와 극성 범위를 전역 처리해 오탐했다. 절·문장 관계 기반 억제가 필요하다."
"RW091","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW092","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW093","scoring_or_output","none","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW094","scoring_or_output","none","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW095","scoring_or_output","none","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW096","scoring_or_output","risk_v03_education_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW097","scoring_or_output","none","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW098","scoring_or_output","risk_v03_education_substantiation","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
"RW099","scoring_or_output","risk_v03_privacy_data_access_review","evaluation_only","라벨 감사에서 정상 안내 또는 안전 문맥으로 재분류되어 탐지 성능 수정 대상에서 제외한다."
"RW100","scoring_or_output","none","evaluation_only","원문만으로 진위를 확정할 수 없는 입증 필요 사례이므로 고위험 탐지 목표가 아니라 REVIEW 평가로 분리한다."
