case_id,category,input_text,expected_status,rules_status,ai_risk_intent,policy_relevance,risk_family,speech_act,context_relation,confidence,actual_status,score,conflict,conflict_reasons,review_reason,provider_status,fallback,provider_ms,validation_ms,rule_ms,total_ms,verdict
BETA001,건강·뷰티,"단 1회, 6분 사용으로",ambiguous,no_match,direct_promotional,none,none,claim,supports,0.5,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3817,1,10,3829,PASS
BETA002,건강·뷰티,피부에 자극 없이 다가갑니다,review,no_match,,,,,,,review,55,true,interpreter_timeout,AI 문맥 분석이 시간 안에 완료되지 않아 담당자 검토로 전환했습니다.,timeout,timeout,15028,0,5,15033,PASS
BETA003,건강·뷰티,"콜라겐 생성 촉진, 매끈한 피부의 완성",review,no_match,direct_promotional,substantiation,health_claim,claim,supports,0.1,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3616,0,7,3623,PASS
BETA004,건강·뷰티,적은 횟수로도 뛰어난 개선 효과를 기대할 수 있습니다.,review,no_match,direct_promotional,substantiation,health_claim,claim,supports,0.5,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3707,0,9,3716,PASS
BETA005,건강·뷰티,피부 본연의 톤을 되찾아드리는 시술입니다.,review,no_match,direct_promotional,substantiation,health_claim,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3631,0,2,3634,PASS
BETA006,금융·투자·부업,지금 온라인 비즈니스를 시작하세요. 무료입니다.,no_match,no_match,direct_promotional,none,none,claim,supports,0.9,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3529,0,3,3533,PASS
BETA007,금융·투자·부업,상위권 기준 월 450만 원 미만의 부수입을 올리는 판매자도 있습니다.,no_match,no_match,contextual_only,none,none,report,reports,0.9,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3719,0,4,3724,PASS
BETA008,금융·투자·부업,AI 타로 상담 수익화 실전강의!,review,no_match,direct_promotional,substantiation,income_claim,claim,supports,0.9,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3625,0,2,3628,PASS
BETA009,금융·투자·부업,인플루언서가 대신 팔아주는 고수익 공구 중개 시스템,review,no_match,direct_promotional,substantiation,income_claim,claim,supports,0.1,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3763,0,3,3766,PASS
BETA010,금융·투자·부업,"100% 실제 수강생, 강사, 수익, 인증",review,review,direct_promotional,substantiation,education_outcome,claim,supports,0.9,review,58,true,risk_family_mismatch,규칙과 AI가 서로 다른 위험 분야를 가리켜 담당자 확인이 필요합니다.,ready,,3696,0,6,3703,PASS
BETA011,교육·취업,합격하는 프로젝트,ambiguous,no_match,direct_promotional,substantiation,education_outcome,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3505,0,2,3507,PASS
BETA012,교육·취업,가장 핵심적인 2가지 - 강의자료에 전부 공개합니다,no_match,no_match,direct_promotional,none,none,claim,supports,0.9,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3707,0,3,3711,PASS
BETA013,교육·취업,"6개월, 막연한 준비를 확신으로 바꾸는 가장 완벽한 로드맵",review,no_match,direct_promotional,substantiation,education_outcome,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3866,0,3,3870,PASS
BETA014,교육·취업,187명의 합격자가 증명하는 공공기관 IT 취업의 정석,review,no_match,direct_promotional,substantiation,education_outcome,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3628,0,3,3631,PASS
BETA015,교육·취업,이 내용을 알고 적어야 합격할수 있습니다!,review,no_match,direct_promotional,substantiation,education_outcome,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3570,0,2,3572,PASS
BETA017,법률·행정,"인생이 걸린 사건이라면, 결과를 넘어 ‘과정 전체’를 책임져야 합니다.",review,no_match,direct_promotional,none,none,claim,supports,0.1,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3710,0,3,3713,PASS
BETA018,법률·행정,설령 1%의 확률이라도 그 상황을 어떻게 대응했는가에 따라 결과는 180도 뒤집힙니다.,review,no_match,direct_promotional,substantiation,general_substantiation,claim,supports,0.9,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3647,0,3,3649,PASS
BETA020,개인정보·앱,수신 통화 혹은 발신 통화 녹음 제한 없음,review,no_match,direct_promotional,potentially_high,privacy_intrusion,claim,supports,0.9,review,55,false,ai_only_potentially_high,규칙에는 없지만 고위험 가능성이 있는 직접 주장으로 해석되어 담당자 검토가 필요합니다.,ready,,3729,0,2,3731,PASS
BETA021,개인정보·앱,배경 오디오로 통화를 듣고 어플리케이션을 열지 않아도 됩니다.,review,no_match,direct_promotional,potentially_high,privacy_intrusion,claim,supports,0.5,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3865,0,3,3868,PASS
BETA022,개인정보·앱,가장 쉽고 안전한 방법으로 iPhone에서 수신 및 발신 통화를 녹음 할 수 있습니다.,review,no_match,direct_promotional,substantiation,general_substantiation,claim,supports,0.8,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3985,0,3,3988,PASS
BETA023,개인정보·앱,선명한 오디오로 모든 통화를 녹음하고,review,no_match,direct_promotional,none,none,claim,supports,0.1,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3594,0,2,3596,PASS
BETA024,일반 상품·서비스,지금 25% 할인 중! 2개 앱 보다 저렴한 가격으로 사용해 보세요.,review,no_match,direct_promotional,substantiation,general_substantiation,claim,supports,0.9,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,4345,0,4,4349,PASS
BETA025,일반 상품·서비스,"조회수를 부르는 감성 보정, 편집 시간은 절반으로!",review,no_match,direct_promotional,none,none,claim,supports,0.1,review,55,true,interpreter_low_confidence,AI 문맥 분석의 확신도가 기준보다 낮아 담당자 검토가 필요합니다.,ready,,3849,0,2,3851,PASS
BETA027,일반 상품·서비스,무료 Adobe Express를 열고 추가 기능 패널에서 '맵'을 검색한 다음 '추가'를 클릭합니다.,no_match,no_match,contextual_only,none,none,condition,conditions,0.9,no_match,0,false,,명시된 조건이나 정상적인 안내 문맥으로 해석되었습니다.,ready,,3854,0,3,3857,PASS
BETA028,경고·비판·기사·면책 문맥,"100% 수익 보장, 수강생 전원 수익 달성, 월 300만 원 실현 등은 성과를 단정적으로 예측하는 허위·과장 광고의 전형적인 패턴입니다.",no_match,high,contextual_only,none,none,definition,defines,1,no_match,0,true,context_policy_suppression,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3137,0,5,3142,PASS
BETA030,경고·비판·기사·면책 문맥,병원비(본인부담금) 면제 또는 할인 등 금전적 혜택을 광고 소재 내 표기 불가,no_match,no_match,contextual_only,none,none,definition,defines,1,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3744,0,3,3746,PASS
BETA016,법률·행정,프리미엄 원스톱 토탈케어 로펌,no_match,no_match,direct_promotional,none,none,claim,supports,1,no_match,0,false,,"일반적인 광고·기능·절차 안내로, 현재 위험 정책과 직접 관련된 표현이 확인되지 않았습니다.",ready,,3975,1,15,3993,PASS
BETA019,법률·행정,분양계약 취소 전부 승소,no_match,no_match,direct_promotional,substantiation,legal_outcome,claim,supports,0.95,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3840,0,8,3849,FAIL
BETA026,일반 상품·서비스,기술 수준에 관계없이 누구나 지금 바로 Adobe Express를 사용하여 멋진 작품을 만들 수 있습니다.,review,no_match,direct_promotional,substantiation,general_substantiation,claim,supports,1,review,55,false,ai_only_substantiation,규칙에는 없지만 비교·실적·조건의 근거 확인이 필요해 담당자 검토로 전환했습니다.,ready,,3827,0,10,3838,PASS
BETA029,경고·비판·기사·면책 문맥,사업 무산 시 전액 환불을 약속했던 안심보장증서마저 휴지 조각이 될 위기에 처했다면 어떻게 대응해야 할까요?,no_match,no_match,contextual_only,none,none,warning,warns_about,0.95,no_match,0,false,,이 문구는 위험 표현을 설명하거나 경고하는 문맥으로 해석되었습니다.,ready,,3265,0,8,3274,PASS
