"case_id","original_text","expected_class","expected_risk_range","actual_score","actual_level","matched_skill_ids","actual_reason","suggested_rewrite","verdict","issue_type","severity","notes","source_url","screenshot"
"RW001","무조건 100% 수익 보장","risky","80-100","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none","none","위험 탐지 및 기대 점수대 충족.","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=","artifacts/real-world-evaluation/screenshots/RW001-normal-high-risk.png"
"RW002","수익만 드리는 투자자문사","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=",""
"RW003","투자 손실 시 전액 환불","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1001630421&page=62&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW004","특별 할인 이벤트 실시","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1001630421&page=62&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW005","타사 환불 대행","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1002931362",""
"RW006","고수익 보장","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1002931362",""
"RW007","원금 100% 보장, 고수익 귀뚜라미 사업","risky","80-100","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","PASS","none","none","위험 탐지 및 기대 점수대 충족.","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf","artifacts/real-world-evaluation/screenshots/RW007-normal-high-risk.png"
"RW008","3개월이면 원금을 회수할 수 있다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf",""
"RW009","연간 200%가 넘는 수익을 올릴 수 있다","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf",""
"RW010","전문가의 밀착지원, 안정적 수익을 보장","risky","50-79","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","REVIEW","score_mismatch","medium","위험은 탐지했으나 사전 기대 점수대와 차이 있음.","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf",""
"RW011","월 200만원 이상 보장","risky","50-79","85","높음","risk_finance_000001","수익·원금 표현과 보장·확정 표현이 결합합니다.","수익 가능성과 위험 요인을 함께 안내합니다.","REVIEW","score_mismatch","medium","위험은 탐지했으나 사전 기대 점수대와 차이 있음.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000060282","artifacts/real-world-evaluation/screenshots/RW011-bad-reason.png"
"RW012","500만원 이상 소득 보장","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000060282",""
"RW013","종양 등도 배출됩니다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW014","1주일이면 살이 쏙 빠집니다","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW015","월 7∼8kg은 가뿐히!","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW016","100% 확실한 성공다이어트","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","artifacts/real-world-evaluation/screenshots/RW016-false-negative.png"
"RW017","미스코리아 몸매 만드는 데 딱 한달!","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW018","부작용이 전혀 없습니다","risky","80-100","0","미탐지","","","","FAIL","false_negative","critical","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","artifacts/real-world-evaluation/screenshots/RW018-false-negative.png"
"RW019","굶을 필요가 없습니다","ambiguous","undecided","0","미탐지","","","","REVIEW","unsupported_case","low","사전 라벨이 ambiguous이므로 점수 차이만으로 실패 처리하지 않음.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
"RW020","책임감량제","risky","50-79","0","미탐지","","","","FAIL","false_negative","high","위험 기대 사례가 0점·무스킬 또는 명백히 낮은 점수로 평가됨.","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90",""
