"case_id","source_type","category","source_name","source_url","accessed_at","original_text","surrounding_context","collection_notes","duplicate_group","expected_class","expected_risk_range","label_confidence","label_reason"
"RW001","public_ad","finance","충청북도 소비생활정보망","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=","2026-07-18","무조건 100% 수익 보장","유튜브 유료 투자정보 사업자의 실제 표시·광고 사례.","실제 공개 본문 확인(L158-161).","finance_guarantee","risky","80-100","high","투자 수익을 무조건·100%로 보장하는 절대적 이익보장 표현이다."
"RW002","public_ad","finance","충청북도 소비생활정보망","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=","2026-07-18","수익만 드리는 투자자문사","같은 조사에서 확인된 이익보장성 광고 문구.","실제 공개 본문 확인(L159).","finance_guarantee","risky","50-79","high","손실 가능성을 배제하고 수익만 제공한다고 오인시킨다."
"RW003","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1001630421&page=62&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","투자 손실 시 전액 환불","유사투자자문 서비스 광고의 소비자 유인 문구.","실제 공개 본문 확인(L237).","refund_guarantee","risky","50-79","high","투자손실과 환불을 결합해 손실 위험이 제거된 인상을 준다."
"RW004","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1001630421&page=62&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","특별 할인 이벤트 실시","유사투자자문 회원 모집 광고에 사용된 문구.","실제 공개 본문 확인(L237).","discount_pressure","safe","0-19","high","일반 할인 이벤트 안내만으로는 투자 위험이나 기만성을 판단할 수 없다."
"RW005","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1002931362","2026-07-18","타사 환불 대행","주식투자정보서비스 광고에서 소비자 유인에 사용된 문구.","실제 공개 이미지 대체텍스트 확인(L216).","refund_service","ambiguous","undecided","medium","서비스 설명일 수 있지만 환불 성공을 암시하는지 문맥 검토가 필요하다."
"RW006","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4004&mode=view&no=1002931362","2026-07-18","고수익 보장","주식투자정보서비스 광고 경고 제목에 인용된 실제 문구.","실제 공개 페이지 확인(L208-216).","finance_guarantee","risky","50-79","high","고수익을 보장하는 표현은 투자 위험을 은폐한다."
"RW007","public_ad","finance","괴산군","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf","2026-07-18","원금 100% 보장, 고수익 귀뚜라미 사업","귀농귀촌 사기피해 사례의 광고지 문구.","실제 공개 PDF 확인(P1 L86-92).","finance_guarantee","risky","80-100","high","원금 전액과 고수익을 동시에 보장하는 명백한 고위험 투자 표현이다."
"RW008","public_ad","finance","괴산군","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf","2026-07-18","3개월이면 원금을 회수할 수 있다","곤충산업 투자 설명회에서 사용된 회수기간 주장.","실제 공개 PDF 확인(P1 L90-92).","finance_time_claim","risky","50-79","high","짧은 기간 내 원금 회수를 단정해 투자 결과를 과도하게 확정한다."
"RW009","public_ad","finance","괴산군","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf","2026-07-18","연간 200%가 넘는 수익을 올릴 수 있다","같은 투자 사업 설명회의 수익률 주장.","실제 공개 PDF 확인(P1 L90-92).","finance_return_claim","risky","80-100","high","비정상적으로 높은 수익률을 구체적 수치로 약속한다."
"RW010","public_ad","finance","괴산군","https://www.goesan.go.kr/DATA/bbs/326/E4073CB1-3216-ADF6-860E-64364C1E3753.pdf","2026-07-18","전문가의 밀착지원, 안정적 수익을 보장","영농조합법인의 투자자 모집 홍보 문구.","실제 공개 PDF 확인(P1 L71-75).","finance_guarantee","risky","50-79","high","전문가 권위와 안정적 수익보장을 결합한다."
"RW011","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000060282","2026-07-18","월 200만원 이상 보장","생활정보지 판매영업직 구인광고 표현.","실제 공개 본문 확인(L622-627).","income_guarantee","ambiguous","20-79","medium","근로·부업·실적급 맥락이 없어 월 200만원 보장이 정상 급여인지 소득 광고인지 원문만으로 확정할 수 없다."
"RW012","public_ad","finance","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000060282","2026-07-18","500만원 이상 소득 보장","조사된 허위·과장 구인광고의 고액 소득 표현.","실제 공개 본문 확인(L625-627).","income_guarantee","risky","50-79","high","고액 소득을 보장해 구직자를 유인한다."
"RW013","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","종양 등도 배출됩니다","다이어트 식품 광고의 의학적 효능 표방 사례.","실제 공개 본문 확인(L218-220).","medical_effect","risky","50-79","high","식품이 종양을 배출한다고 주장해 의학적 치료효과로 오인시킨다."
"RW014","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","1주일이면 살이 쏙 빠집니다","다이어트 제품의 단기간 감량 광고.","실제 공개 본문 확인(L220).","rapid_result","risky","50-79","high","감량 결과와 기간을 단정한다."
"RW015","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","월 7∼8kg은 가뿐히!","다이어트 제품의 정량 감량 광고.","실제 공개 본문 확인(L220).","rapid_result","risky","50-79","high","개인차 없이 월 감량량을 확정적으로 제시한다."
"RW016","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","100% 확실한 성공다이어트","다이어트 제품의 절대적 성공 주장.","실제 공개 본문 확인(L220).","medical_absolute","risky","80-100","high","100%와 확실한 성공을 결합한 절대적 효과보장이다."
"RW017","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","미스코리아 몸매 만드는 데 딱 한달!","다이어트 제품의 모델 체형·기간 주장.","실제 공개 본문 확인(L220).","rapid_result","risky","50-79","high","특정 체형 결과를 한 달로 단정한다."
"RW018","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","부작용이 전혀 없습니다","다이어트 제품 광고와 실제 부작용 상담의 대조 사례.","실제 공개 본문 확인(L230).","medical_absolute","risky","80-100","high","부작용 가능성을 전면 부정하는 안전성 보장이다."
"RW019","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","굶을 필요가 없습니다","다이어트 프로그램 광고에 자주 쓰인 표현.","실제 공개 본문 확인(L230).","diet_convenience","ambiguous","undecided","medium","식사 제한이 불필요하다는 의미가 제품·프로그램 조건에 따라 달라진다."
"RW020","public_ad","health_beauty","한국소비자원","https://www.kca.go.kr/home/sub.do?menukey=4002&mode=view&no=1000247219&page=129&searchKeyword=%EC%86%8C%EB%B9%84%EC%9E%90","2026-07-18","책임감량제","다이어트 광고의 결과 책임 암시 표현.","실제 공개 본문 확인(L230).","weight_guarantee","ambiguous","20-79","medium","‘책임감량제’라는 명칭만으로 보장 범위와 실제 효능 주장을 확정할 수 없어 추가 문맥이 필요하다."
"RW021","public_ad","health_beauty","충청북도 소비생활정보망","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=289571&pageIndex=73&searchCnd=all&searchCtgry=&searchKrwd=","2026-07-18","모공 수 개선","화장품 거짓·과대 광고 예시.","실제 공개 본문 확인(L160).","cosmetic_effect","ambiguous","20-79","medium","모공 수 개선은 측정 기준과 제품 범위에 대한 입증이 필요한 주장이나 원문만으로 허위 여부는 확정할 수 없다."
"RW022","public_ad","health_beauty","충청북도 소비생활정보망","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=289571&pageIndex=73&searchCnd=all&searchCtgry=&searchKrwd=","2026-07-18","10대 연령의 눈가로 만들어 줌","화장품의 연령 역전 효능 광고 예시.","실제 공개 본문 확인(L160).","cosmetic_effect","risky","50-79","high","특정 연령대의 신체 상태로 바꾼다고 단정한다."
"RW023","public_ad","health_beauty","대한영양사협회","https://www.dietitian.or.kr/ks_result.do?curPage=835&curpage=762","2026-07-18","뼈건강, 혈당조절, 항암효과에 효능","일반 판매 현장에서 건강기능식품에 사용한 광고 표현.","실제 공개 본문 확인(식약처 적발사례 공개 페이지).","medical_effect","risky","80-100","high","여러 질환·항암 효능을 광범위하게 표방한다."
"RW024","public_ad","health_beauty","대한영양사협회","https://www.dietitian.or.kr/ks_result.do?curPage=835&curpage=762","2026-07-18","변비, 당뇨개선, 숙취개선에 효능","의료기기 체험방의 효능 광고 표현.","실제 공개 본문 확인(식약처 적발사례 공개 페이지).","medical_effect","risky","80-100","high","의료기기에 다수 질환 개선 효과를 단정한다."
"RW025","public_ad","education","사람인스토어","https://www.saramin.co.kr/zf_user/store/product?salePrdCd=PMe8dd333b845b42a2b0","2026-07-18","서류 합격 보장!","취업 학습지 상품 제목.","실제 공개 상품 페이지 제목 확인.","education_guarantee","risky","80-100","high","교육·취업 결과인 서류 합격을 보장한다."
"RW026","public_ad","education","경향신문","https://www.khan.co.kr/article/200610210948361","2026-07-18","조건에 상관없이 100% 진학을 보장한다","뷰티스쿨 상담자의 실제 모집 발언.","실제 공개 기사 본문 확인(L234).","education_guarantee","risky","80-100","high","조건과 무관하게 진학을 100% 보장한다."
"RW027","public_ad","education","경향신문","https://www.khan.co.kr/article/200610210948361","2026-07-18","이미 100% 합격을 해당학과 교수에게 보장받았다","학원 상담자의 부정입학 유인 발언.","실제 공개 기사 본문 확인(L243).","education_guarantee","risky","80-100","high","외부 심사 결과인 합격을 사전에 전면 보장한다."
"RW028","public_ad","education","경향신문","https://www.khan.co.kr/article/200610210948361","2026-07-18","100명 보내면 100명 다 합격시켜 주기로 약속했다","학원 상담자의 합격 약속 설명.","실제 공개 기사 본문 확인(L245).","education_guarantee","risky","80-100","high","모든 지원자의 합격을 약속하는 절대적 결과보장이다."
"RW029","public_ad","education","경향신문","https://www.khan.co.kr/article/200610210948361","2026-07-18","일단 1개월만 다니면서 출석을 잘하시면 원서를 써드릴게요","학원 상담자의 수강 유도 발언.","실제 공개 기사 본문 확인(L247-251).","education_offer","ambiguous","undecided","medium","원서 작성 지원 제안 자체는 가능하나 부정입학 맥락과 결합되어 있다."
"RW030","public_ad","education","Yokobe 블로그","https://yokobe.tistory.com/entry/2026-%EC%B5%9C%EC%8B%A0-%EA%B2%80%EC%A0%95%EA%B3%A0%EC%8B%9C-%EC%B6%9C%EC%8B%A0-%EC%88%98%ED%97%98%EC%83%9D%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%83%9D%EB%B6%80-%EC%A2%85%ED%95%A9-%EC%A0%84%ED%98%95-%EC%A7%80%EC%9B%90-%EC%A0%84%EB%9E%B5-%ED%95%A9%EA%B2%A9%EB%A5%A0-300-%EC%98%AC%EB%A6%AC%EB%8A%94-%EB%8C%80%EC%B2%B4%EC%84%9C%EC%8B%9D-%EC%9E%91%EC%84%B1%EB%B2%95","2026-07-18","합격률 300% 올리는 대체서식 작성법","입시 전략 글의 홍보성 제목.","실제 공개 페이지 제목 확인.","education_metric","risky","50-79","high","기준이 불명확한 합격률 300% 향상 효과를 내세운다."
"RW031","public_ad","education","Yokobe 블로그","https://yokobe.tistory.com/entry/2026-%EC%B5%9C%EC%8B%A0-%EA%B2%80%EC%A0%95%EA%B3%A0%EC%8B%9C-%EC%B6%9C%EC%8B%A0-%EC%88%98%ED%97%98%EC%83%9D%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%83%9D%EB%B6%80-%EC%A2%85%ED%95%A9-%EC%A0%84%ED%98%95-%EC%A7%80%EC%9B%90-%EC%A0%84%EB%9E%B5-%ED%95%A9%EA%B2%A9%EB%A5%A0-300-%EC%98%AC%EB%A6%AC%EB%8A%94-%EB%8C%80%EC%B2%B4%EC%84%9C%EC%8B%9D-%EC%9E%91%EC%84%B1%EB%B2%95","2026-07-18","2026년형 100% 합격 해결책","입시 전략 글의 소제목.","실제 공개 본문 확인(L27-28).","education_guarantee","risky","80-100","high","합격을 100% 해결한다고 단정한다."
"RW032","public_ad","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","가장 큰 학원","학원 부당광고 안내에서 실제 사용을 경고한 최상급 표현.","실제 공개 본문 확인(L46-50).","education_superlative","ambiguous","20-79","medium","‘가장 큰’은 비교 기준과 조사 범위를 확인해야 하는 최상급 표현이다."
"RW033","public_ad","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","최고의 강사","학원 부당광고 안내의 실제 광고 예시.","실제 공개 본문 확인(L46-50).","education_superlative","ambiguous","20-79","medium","‘최고의 강사’는 객관적 비교 기준과 입증 자료가 필요한 표현이다."
